 ,USD,USD,EURO,EURO,RUB,RUB,KZT,KZT
Банк,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа
Банк Азии,"81,00","82,00","82,00","83,00","1,3200","1,4200","0,1190","0,1900"
KICB,"83,00","84,00","83,00","84,00","1,3200","1,4200","0,1100","0,1950"
Банк КЫРГЫЗСТАН,"81,50","82,50","82,50","83,50","1,3200","1,4000","0,1100","0,1900"
Оптима Банк,"82,50","83,50","84,50","85,50","1,3200","1,4200","0,1150","0,1950"
РСК Банк,"81,00","82,00","83,00","84,00","1,3000","1,4200","0,1150","0,1900"
Бай-Тушум,"82,00","83,00","83,00","84,00","1,3200","1,4000","0,1000","0,2000"
Демир Банк,"83,00","84,00","85,00","86,00","1,3000","1,4200","0,1100","0,2000"
FINCA Банк,"81,50","82,50","83,00","84,00","1,3300","1,4200","0,1190","0,1900"
Банк Компаньон,"81,00","82,00","82,00","83,00","1,3200","1,4200","0,1190","0,2100"
Моссовет / valuta.kg,"82,87","83,87","87,50","88,50","1,0230","1,1600","0,1094","0,2010"
